game_date,player_name,is_home,team,opponent,line
2026-04-19 13:10:00,Jaylen Brown,1,BOS,PHI,25.5
2026-04-19 13:10:00,Tyrese Maxey,0,PHI,BOS,25.5
2026-04-19 13:10:00,Jayson Tatum,1,BOS,PHI,23.5
2026-04-19 13:10:00,Paul George,0,PHI,BOS,18.5
2026-04-19 13:10:00,Derrick White,1,BOS,PHI,13.5
2026-04-19 13:10:00,Kelly Oubre Jr.,0,PHI,BOS,13.5
2026-04-19 13:10:00,Payton Pritchard,1,BOS,PHI,14
2026-04-19 13:10:00,VJ Edgecombe,0,PHI,BOS,14.5
2026-04-19 13:10:00,Nikola Vučević,1,BOS,PHI,8.5
2026-04-19 13:10:00,Neemias Queta,1,BOS,PHI,9
2026-04-19 13:10:00,Andre Drummond,0,PHI,BOS,6.5
2026-04-19 13:10:00,Dominick Barlow,0,PHI,BOS,3.5
2026-04-19 15:40:00,Shai Gilgeous-Alexander,1,OKC,PHX,30.5
2026-04-19 15:40:00,Devin Booker,0,PHX,OKC,23.5
2026-04-19 15:40:00,Dillon Brooks,0,PHX,OKC,15.5
2026-04-19 15:40:00,Jalen Green,0,PHX,OKC,18.5
2026-04-19 15:40:00,Jalen Williams,1,OKC,PHX,17.5
2026-04-19 15:40:00,Chet Holmgren,1,OKC,PHX,15.5
2026-04-19 15:40:00,Ajay Mitchell,1,OKC,PHX,9.5
2026-04-19 15:40:00,Grayson Allen,0,PHX,OKC,9.5
2026-04-19 15:40:00,Isaiah Hartenstein,1,OKC,PHX,7.5
2026-04-19 15:40:00,Jordan Goodwin,0,PHX,OKC,8.5
2026-04-19 15:40:00,Mark Williams,0,PHX,OKC,7.5
2026-04-19 15:40:00,Cason Wallace,1,OKC,PHX,5.5
2026-04-19 15:40:00,Luguentz Dort,1,OKC,PHX,7.5
2026-04-19 15:40:00,Royce O’Neale,0,PHX,OKC,6
2026-04-19 15:40:00,Alex Caruso,1,OKC,PHX,5.5
2026-04-19 18:40:00,Cade Cunningham,1,DET,ORL,26.5
2026-04-19 18:40:00,Jalen Duren,1,DET,ORL,20.5
2026-04-19 18:40:00,Paolo Banchero,0,ORL,DET,22.5
2026-04-19 18:40:00,Desmond Bane,0,ORL,DET,19.5
2026-04-19 18:40:00,Franz Wagner,0,ORL,DET,17.5
2026-04-19 18:40:00,Jalen Suggs,0,ORL,DET,13.5
2026-04-19 18:40:00,Tobias Harris,1,DET,ORL,13.5
2026-04-19 18:40:00,Wendell Carter,0,ORL,DET,9.5
2026-04-19 18:40:00,Anthony Black,0,ORL,DET,9.5
2026-04-19 18:40:00,Ausar Thompson,1,DET,ORL,9.5
2026-04-19 18:40:00,Isaiah Stewart,1,DET,ORL,7.5
2026-04-19 18:40:00,Ronald Holland,1,DET,ORL,5.5
2026-04-19 18:40:00,Tristan Silva,0,ORL,DET,4.5
2026-04-19 21:10:00,Victor Wembanyama,1,SAS,POR,28
2026-04-19 21:10:00,Deni Avdija,0,POR,SAS,24
2026-04-19 21:10:00,De’Aaron Fox,1,SAS,POR,17.5
2026-04-19 21:10:00,Jrue Holiday,0,POR,SAS,15.5
2026-04-19 21:10:00,Stephon Castle,1,POR,SAS,17
2026-04-19 21:10:00,Toumani Camara,0,POR,SAS,12
2026-04-19 21:10:00,Julian Champagnie,1,SAS,POR,9.5
2026-04-19 21:10:00,Scoot Henderson,0,POR,SAS,9.5
2026-04-19 21:10:00,Donovan Clingan,0,POR,SAS,11
2026-04-19 21:10:00,Keldon Johnson,1,SAS,POR,10.5
2026-04-19 21:10:00,Shaedon Sharpe,0,POR,SAS,10.5
2026-04-19 21:10:00,Jerami Grant,0,POR,SAS,10.5
2026-04-19 21:10:00,Dylan Harper,1,SAS,POR,8.5
2026-04-19 21:10:00,Harrison Barnes,1,SAS,POR,5
2026-04-19 21:10:00,Robert Williams,0,POR,SAS,4.5
2026-04-19 21:10:00,Luke Kornet,1,SAS,POR,3.5
2026-04-20 19:10:00,Donovan Mitchell,1,CLE,TOR,27.5
2026-04-20 19:10:00,James Harden,1,CLE,TOR,21.5
2026-04-20 19:10:00,Brandon Ingram,0,TOR,CLE,20.5
2026-04-20 19:10:00,Immanuel Quickley,0,TOR,CLE,13.5
2026-04-20 19:10:00,Evan Mobley,1,CLE,TOR,16.5
2026-04-20 19:10:00,RJ Barret,0,TOR,CLE,19
2026-04-20 19:10:00,Scottie Barnes,0,TOR,CLE,17.5
2026-04-20 19:10:00,Jarret Allen,1,CLE,TOR,13.5
2026-04-20 19:10:00,Jakob Poeltl,0,TOR,CLE,8.5
2026-04-20 19:10:00,Sam Merrill,1,CLE,TOR,8.5
2026-04-20 19:10:00,Dean Wade,1,CLE,TOR,4.5
2026-04-20 20:10:00,Jalen Brunson,1,NYK,ATL,27.5
2026-04-20 20:10:00,Jalen Johnson,0,ATL,NYK,21.5
2026-04-20 20:10:00,Karl-Anthony Towns,1,NYK,ATL,20.5
2026-04-20 20:10:00,Nickel Alexander-Walker,0,ATL,NYK,19.5
2026-04-20 20:10:00,CJ McCollum,0,ATL,NYK,17.5
2026-04-20 20:10:00,OG Annoy,1,NYK,ATL,16.5
2026-04-20 20:10:00,Mikal Bridges,1,NYK,ATL,13.5
2026-04-20 20:10:00,Onyeka Okongwu,0,ATL,NYK,12.5
2026-04-20 20:10:00,Josh Hart,1,NYK,ATL,10.5
2026-04-20 20:10:00,Dyson Daniels,0,ATL,NYK,11.5
2026-04-20 22:40:00,Aaron Gordon,1,DEN,MIN,16.5
2026-04-20 22:40:00,Tim Hardaway,0,DEN,MIN,9.5
2026-04-20 22:40:00,Nikola Jokić,1,DEN,MIN,27.5
2026-04-20 22:40:00,Anthony Edwards,0,MIN,DEN,26.5
2026-04-20 22:40:00,Jamal Murray,1,DEN,MIN,26.5
2026-04-20 22:40:00,Julius Randle,0,MIN,DEN,18.5
2026-04-20 22:40:00,Ayo Dosunmu,0,MIN,DEN,13.5
2026-04-20 22:40:00,Jaden McDaniels,0,MIN,DEN,14.5
2026-04-20 22:40:00,Naz Reid,0,MIN,DEN,10.5
2026-04-20 22:40:00,Christian Braun,1,DEN,MIN,11.5
2026-04-20 22:40:00,Cameron Johnson,1,DEN,MIN,11.5
2026-04-20 22:40:00,Donte DiVincenzo,0,MIN,DEN,10.5
2026-04-20 22:40:00,Rudy Gobert,0,MIN,DEN,10.5
2026-04-21 22:40:00,Kevin Durant,0,HOU,LAL,24
2026-04-21 22:40:00,LeBron James,1,LAL,HOU,24.5
2026-04-21 22:40:00,Alperen Sengun,0,HOU,LAL,18.5
2026-04-21 22:40:00,Amen Thompson,0,HOU,LAL,16.5
2026-04-21 22:40:00,Deandre Ayton,1,LAL,HOU,13.5
2026-04-21 22:40:00,Jabari Smith,0,HOU,LAL,14.5
2026-04-21 22:40:00,Luke Kennard,1,LAL,HOU,13.5
2026-04-21 22:40:00,Reed Sheppard,0,HOU,LAL,12.5
2026-04-21 22:40:00,Rui Hachimura,1,LAL,HOU,13.5
2026-04-21 22:40:00,Marcus Smart,1,LAL,HOU,10.5
2026-04-21 22:40:00,Tari Eason,0,HOU,LAL,7.5
2026-04-21 22:40:00,Jake LaRavia,1,LAL,HOU,6.5
2026-04-21 22:40:00,Jarred Vanderbilt,1,LAL,HOU,3.5